description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                The hit documentary from the 2016 Sundance Film Festival goes inside the life of Steve Gleason, the former New Orleans Saints defensive back who, at the age of 34, was diagnosed with ALS and given a life expectancy of two to five years. Weeks later, Gleason found out his wife, Michel, was expecting their first child. A video journal that began as a gift for his unborn son expands to chronicle Steve's determination to get his relationships in order, build a foundation to provide other ALS patients with purpose, and adapt to his declining physical condition-utilizing medical technologies that offer the means to live as fully as possible.
            ","R (for language)
                    ",Clay Tweel,NA,NA,NA,NA,NA,NA,"Jul 29, 2016
                        ","Nov 1, 2016
                        ","
                            110 minutes
                        ","
                        Dear Rivers Production
                    ","
                Steve Gleason
            ","
                Michel Varisco
            ","
                Scott Fujita
            ","
                Drew Brees
            ","
                Mike McCready
            ","
                Rivers Gleason
            ",Gleason,NA,Gleason stands out among sports-themed documentaries by offering a clear-eyed look at its subject's physical deterioration -- and an intimate portrait of the family affected by his ordeal.,"
                        
                        Documentary
                        
                    ",96,68,90,3,136859,7.95,7.74,28,4.34,535,62,2997,https://www.rottentomatoes.com/m/gleason_2016
"
                AWAKE: The Life of Yogananda is an unconventional biography about an Indian Swami who brought yoga and meditation to the West in the 1920s. This feature documentary explores the life and teachings of Paramahansa Yogananda, who authored the spiritual classic Autobiography of a Yogi, which has sold millions of copies worldwide and is a go-to book for seekers, philosophers and yoga enthusiasts today. It was the only book that Steve Jobs had on his iPad, and he arranged to give away 800 copies of it to the dignitaries who attended his memorial service. It was also a point of entry into Eastern mysticism for George Harrison, Russell Simmons and countless yogis. By personalizing his own quest for enlightenment and sharing his struggles along the path, Yogananda made ancient teachings accessible to a modern audience, attracting many followers and ultimately helping millions of seekers today to turn their attention inwards, bucking the temptations of the material world in pursuit of self-realization. (C) PMK BNC
            ","PG (for thematic elements, some violent images and brief smoking)
                    ",Lisa Leeman,Paola di Florio,NA,NA,NA,NA,NA,"Oct 10, 2014
                        ","Oct 6, 2015
                        ","
                            87 minutes
                        ","
                        PMK BNC Film
                    ","
                Ravi Shankar
            ","
                Krishna Das
            ","
                George Harrison
            ","
                Hitendra Wadhwa
            ","
                Mas Vidal
            ","
                Bikram Choudhury
            ","
                                Awake: The Life Of Yogananda
                            ",2014,No consensus yet.,"
                        
                        Documentary
                        
                    ",64,11,71,639,136881,5.21,5.05,9,3.88,94,39,436,https://www.rottentomatoes.com/m/awake_the_life_of_yogananda
"
                Be taken on a journey that unfolds on many levels - as an immersive concert experience of the classic Pink Floyd album, a road movie of Waters' reckoning with the past and as a stirring anti-war event, highlighting the human cost of conflict. Additionally, fans will have a unique opportunity to see The Simple Facts with Roger Waters and his Pink Floyd bandmate Nick Mason - reunited, unscripted, and in conversation to answer questions submitted the fans from around the world. Don't miss this monumental event where music and personal passion collide.
            ","R (for some language, nudity and violent images)
                    ",Roger Waters,Sean Evans,NA,Roger Waters,Sean Evans,NA,NA,"Sep 29, 2015
                        ","Dec 1, 2015
                        ","
                            131 minutes
                        ","
                        Fathom Events
                    ","
                Dave Kilminster
            ","
                Dave Kilminster
            ","
                G.E. Smith
            ","
                Jon Carin
            ","
                Jon Carin
            ","
                Snowy White
            ","
                                Roger Waters The Wall
                            ",2015,No consensus yet.,"
                        
                        Documentary, 
                        
                        Musical & Performing Arts
                        
                    ",100,6,94,610,133044,6.4,6,2,4.47,205,13,325,https://www.rottentomatoes.com/m/roger_waters_the_wall
"
                This Rolling Stones documentary focuses on the two concerts from the group's current ""A Bigger Bang"" tour and includes scenes from a recent concert in Austin, Texas. It also includes behind-the-scenes footage and interviews.
            ","PG-13 (for brief strong language, drug references and smoking)
                    ",Martin Scorsese,NA,NA,NA,NA,NA,NA,"Feb 7, 2008
                        ","Jul 29, 2008
                        ","
                            121 minutes
                        ","
                        Paramount
                    ","
                Mick Jagger
            ","
                The Rolling Stones
            ","
                Keith Richards (II)
            ","
                Charlie Watts
            ","
                Ronnie Wood
            ","
                Buddy Guy
            ",Shine a Light,NA,"It may offer little new for fans, but Martin Scorsese's document of the Rolling Stones' electrifying live show should provide satisfaction to audiences.","
                        
                        Documentary, 
                        
                        Musical & Performing Arts
                        
                    ",86,126,74,37,141015,7.33,7.24,41,3.79,2345,805,8119,https://www.rottentomatoes.com/m/shine_a_light
"
                The ubiquitous pink ribbons of breast cancer philanthropy and the hand-in-hand marketing of brands and products associated with it permeates our culture, providing assurance that we are engaged in a successful battle against this insidious disease. But the campaign obscures the reality and facts of breast cancer, more and more women are diagnosed with breast cancer every year, and face the same treatment options they did 40 years ago. Yet women are also the most influential market group, buying 80 percent of consumer products and making most major household purchasing decisions. So then who really benefits from the pink ribbon campaigns - the cause or the company? -- (C) First Run
            ","NR
                    ",La Pool,NA,NA,Patricia Kearns,Nancy Guerin,La Pool,NA,"Jun 1, 2012
                        ","Sep 25, 2012
                        ","
                            97 minutes
                        ","
                        First Run Features
                    ","
                Judy Brady
            ","
                Barbara Brenner
            ","
                Nancy G. Brinker
            ","
                James Brophy
            ","
                Janet Collins
            ","
                Carol Cone
            ","
                                Pink Ribbons, Inc.
                            ",2012,No consensus yet.,"
                        
                        Documentary
                        
                    ",89,36,77,1,136305,6.98,7.15,15,3.8,144,43,473,https://www.rottentomatoes.com/m/pink_ribbons_inc
"
                Few intersections are as potentially thrilling and explosive as the meeting of great artists from different disciplines. When Oscar (R)-winning filmmaker (and former dancer) Shirley Clarke trained her cameras and creativity on jazz great Ornette Coleman, the result was a documentary portrait like no other - kaleidoscopic, mesmerizing and well, cosmic. This meeting of extraordinary New York talents originated in Forth Worth in the early 1980s. Producer Kathelin Hoffman was preparing to open Caravan of Dreams, an innovative new cultural center, and invited native son Coleman to write a jazz piece to perform with his band Prime Time for the opening. Hoffman then set out to find a director to document the performance. Speaking with Coleman, she learned that Clarke had started a film about him back in the 1960s. So Hoffman visited the filmmaker at New York's Chelsea Hotel and the trio embarked on a three-year project that would stretch the conventions of the documentary genre in almost every way possible. The team confronted a number of technical challenges that provoked innovation. In order to end up with a 35mm projection print, Clarke and Hoffman had to invent editing techniques to handle footage shot in a wide variety of film and video media. Since she had filmed the original footage, Clarke had become a leading innovator in experimental and documentary video production. The pair decided to try out a new Super 16 film stock and hired young cinematographer Ed Lachman, based on his brilliant Super 16 work on Peter Greenaway's The Draughtsman's Contract. The structure of the documentary required creativity and collaboration. While Coleman and Hoffman were focused on making a film about the creative process, Clarke wanted to continue the film she had begun years earlier about the musician and his relationship with his talented son, Denardo. The team also hoped the film could tell the story of a poor black kid returning home as a famed composer. And to make things even more challenging, Coleman decided to create a nightclub performance, a symphony, and a chamber music piece to celebrate his Fort Worth homecoming. The documentary uses the score of Coleman's symphony ""Skies of America"" as an underlying script and, like his avant-garde jazz, exploits non-linear means of storytelling to bring everything together. Dazzling sound and visual editing weave together archival shots from 16mm and video; dream and flashback sequences; animation; the theories of Buckminster Fuller; North African influences on 1960s luminaries (including William Burroughs, Tennessee Williams, Paul Bowles and Allen Ginsberg); a music video; and Coleman's musings on the intellectual and experiential basis for Southern jazz and blues. And all are syncopated to Coleman's ""harmolodic"" score, which music critic Thom Jurek described as ""dangerous and rewarding music."" ORNETTE: MADE IN AMERICA opened in 1986 to a wave of enthusiastic reviews. David Sterritt in the Christian Science Monitor called it ""a quirky cinematic spree that unfolds the saga of Coleman's career while visually evoking the boundless 'free jazz' flights of his unpredictable music."" Don Snowden of the the Los Angeles Times wrote: ""Clarke's use of rapid-fire editing, the juxtaposition of images and its non-linear story line gives the film a far more sweeping scope than a standard portrait of an artist."" But sadly, Clarke soon afterwards developed Alzheimer's and in the years following her death in 1997, the documentary was rarely shown. In 2011, Milestone and producer Kathelin Hoffman Gray brought the original elements to the UCLA Film & Television Archive to oversee a restoration of ORNETTE: MADE IN AMERICA. With the active participation of Hoffman Gray, cinematographer Lachman and Milestone's VP Dennis Doros, UCLA restorationist Ross Lipman (Killer of Sheep, The Exiles, Wanda) painstakingly color corrected each scene of the collage-like film. Then Lipman and Audio Mechanic's John Polito restored the soundtrack to insure that the sound quality matched the film's splendor.
            ","NR
                    ",Shirley Clarke,NA,NA,NA,NA,NA,NA,"Aug 31, 2012
                        ","Nov 11, 2014
                        ","
                            80 minutes
                        ","
                        Milestone Pictures
                    ","
                Ornette Coleman
            ","
                Demon Marshall
            ","
                Eugene Tatum
            ","
                Don Cherry
            ","
                Brion Gysin
            ",NA,Ornette: Made in America,NA,No consensus yet.,"
                        
                        Documentary
                        
                    ",89,19,46,99,134412,6.96,7.33,10,3.46,6,7,53,https://www.rottentomatoes.com/m/ornette_made_in_america
"
                On the morning of November 8, 2018, a seemingly small fire broke out in Butte County, California near the town of Paradise. Over the course of a few short hours, the Camp Fire grew into the country's deadliest wildfire in over a century, killing 85 people and destroying Paradise. Through first-hand footage of the disaster and personal interviews with survivors and emergency responders, FIRE IN PARADISE vividly retells the terrifying survival stories from that day.
            ","NR
                    ",Zackary Canepari,Drea Cooper,NA,NA,NA,NA,NA,"Nov 1, 2019
                        ","
                            39 minutes
                        ",NA,"
                        Netflix
                    ",NA,NA,NA,NA,NA,NA,"
                                Fire in Paradise
                            ",2019,No consensus yet.,"
                        
                        Documentary
                        
                    ",80,5,88,17,132488,7.5,7.5,2,4.26,15,2,8,https://www.rottentomatoes.com/m/fire_in_paradise
"
                From the shifting faultlines of Hollywood fantasies and the economic and racial tensions of Reagan's America, Fishbone rose to become one of the most original bands of the last 25 years. With a blistering combination of punk and funk they demolished the walls of genre and challenged the racial stereotypes and political order of the music industry and the nation. Telling it like it is, the iconic Laurence Fishburne narrates Everyday Sunshine, a story about music, history, fear, courage and funking on the one. At the heart of the film's story is lead singer Angelo Moore and bassist Norwood Fisher who show how they keep the band rolling out of pride, desperation and love for their art. To overcome money woes, family strife, and the strain of being aging Punk rockers on the road, Norwood and Angelo are challenged to re-invent themselves in the face of dysfunction and ghosts from a painful past. -- (C) Official Site
            ","NR
                    ",Chris Metzler,Lev Anderson,NA,NA,NA,NA,NA,"Oct 7, 2011
                        ","Mar 6, 2012
                        ","
                            103 minutes
                        ","
                        Pale Griot Films
                    ","
                Laurence Fishburne
            ","
                John Norwood Fisher
            ","
                Flea
            ","
                Angelo Moore
            ","
                Chris Dowd
            ","
                Walter Kibby
            ",Everyday Sunshine: The Story of Fishbone,NA,"Everyday Sunshine: The Story of Fishbone is an entertaining, heartwarming, and balanced documentary about the influential Los Angeles band.","
                        
                        Documentary, 
                        
                        Musical & Performing Arts
                        
                    ",100,47,85,1,135559,7.4,7.18,16,4.23,246,44,901,https://www.rottentomatoes.com/m/everyday_sunshine_the_story_of_fishbone_2011
"
                Throughout Richard Nixon's presidency, three of his top White House aides obsessively documented their experiences with Super 8 home movie cameras. Young, idealistic and dedicated, they had no idea that a few years later they'd all be in prison. This unique and personal visual record, created by H.R. Haldeman, John Ehrlichman and Dwight Chapin, was seized by the FBI during the Watergate investigation, then filed away and forgotten for almost 40 years. OUR NIXON is an all-archival documentary presenting those home movies for the first time, along with other rare footage, creating an intimate and complex portrait of the Nixon presidency as never seen before. (c) Cinedigm
            ","NR
                    ",NA,NA,NA,NA,NA,NA,NA,"Aug 30, 2013
                        ","Jan 14, 2014
                        ","
                            84 minutes
                        ","
                        Cinedigm
                    ","
                Richard Nixon
            ","
                H.R. Halderman
            ",NA,NA,NA,NA,"
                                Our Nixon
                            ",2013,"Our Nixon offers a privileged personal perspective on a White House soon to be derailed by scandal, giving viewers an intimate look at the people behind the political legend.","
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",91,43,74,1,139235,7.48,7.36,23,3.63,101,35,696,https://www.rottentomatoes.com/m/our_nixon
"
                God Bless Ozzy Osbourne pulls the curtain open on the man known as the Prince of Darkness. For four decades Ozzy has been a rock icon known as much for his trademark personality and offstage antics as for his music as the frontman of Black Sabbath. With his rise to fame and money and his self-esteem issues, everything eventually took a toll on Ozzy as he embarked on an epic binge that would last 40 years. Directors Mike Fleiss and Mike Piscitelli spent two years on the road with Ozzy. Live footage from his latest tour is threaded throughout, but it's Ozzy's reflections and surprising candor about himself that make up the heart of the film. Frank interviews with his family-including Kelly, Jack (also a producer of the film), and wife Sharon, who we saw on the popular television series The Osbournes, as well as his other children and siblings-don't always paint a pretty picture. But Ozzy readily admits that his crazy life, marked by decades-long battles against addiction, affected his role as a husband and father. His life and career have had their ups and downs, and this definitive bio-doc is a testament to his survival. -- (C) Tribeca
            ","R
                    ",Mike Piscitelli,Mike Fleiss,NA,NA,NA,NA,NA,"Aug 29, 2011
                        ","Nov 15, 2011
                        ","
                            91 minutes
                        ","
                        NCM/ Fathom
                    ","
                Ozzy Osbourne
            ","
                Sharon Osbourne
            ","
                Paul McCartney
            ","
                Tommy Lee
            ","
                Kelly Osbourne
            ","
                Bill Ward
            ","
                                God Bless Ozzy Osbourne
                            ",2011,No consensus yet.,"
                        
                        Documentary, 
                        
                        Musical & Performing Arts
                        
                    ",67,6,80,447,136378,5.33,0,1,3.93,173,42,122,https://www.rottentomatoes.com/m/god_bless_ozzy_osbourne
"
                A provocative social experiment-turned-documentary, Kumare follows American filmmaker Vikram Gandhi as he transforms himself into a wise Indian guru, hoping to prove the absurdity of blind faith. Instead, he finds himself forging profound connections with people from all walks of life -- and wondering if and when to reveal his true self. Will his followers accept his final teaching? Can this illusion reveal a greater spiritual truth? Winner of South by Southwest's Audience Award, Kumare is an insightful look at faith and belief. -- (C) Kino Lorber
            ","NR
                    ",Vikram Gandhi,NA,NA,NA,NA,NA,NA,"Jun 20, 2012
                        ","Mar 11, 2013
                        ","
                            84 minutes
                        ","
                        Kino Lorber Films
                    ","
                Vikram Gandhi
            ","
                Purva Bedi
            ","
                Kristen Calgaro
            ",NA,NA,NA,"
                                Kumar
                            ",2012,No consensus yet.,"
                        
                        Documentary, 
                        
                        Drama, 
                        
                        Special Interest
                        
                    ",60,25,82,2,138665,6.28,6.02,14,3.98,558,120,761,https://www.rottentomatoes.com/m/kumare
"
                Visionary, radical, spiritual seeker, renowned poet, founding member of a major literary movement, champion of human rights, Buddhist, political activist and teacher-Allen Ginsberg's remarkable life shaped the very soul of American counterculture. For 25 years, Academy Award (R)-nominated director Jerry Aronson accumulated more than 120 hours of film on Allen Ginsberg, resulting in this comprehensive portrait of one of America's greatest poets, author of Howl and other groundbreaking poems. The DVD includes exclusive and revealing interviews with his friends, family and contemporaries as well as never-before-seen materials made public because of the warm friendship that developed between subject and director. This compilation reveals the last 60 years of American culture beginning with the Beat era in the post-war Forties and Fifties, continuing through the revolutionary Sixties and concluding with the uncertainty and possibility of current times. (c) Cinedigm
            ","NR
                    ",Jerry Aronson,NA,NA,NA,NA,NA,NA,"Feb 17, 1994
                        ","Jun 11, 2013
                        ","
                            84 minutes
                        ","
                        Docurama
                    ","
                Allen Ginsberg
            ","
                Ken Kesey
            ","
                William S. Burroughs
            ","
                Ken Kesey
            ","
                Norman Mailer
            ","
                Abbie Hoffman
            ",The Life and Times of Allen Ginsberg,NA,No consensus yet.,"
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",77,13,71,506,133143,6.73,2.5,1,3.74,28,11,80,https://www.rottentomatoes.com/m/1058156-life_and_times_of_allen_ginsberg
"
                As one of two major documentaries on hotly debated Senegalese world musician Youssou N'Dour to emerge within a year of one another (see also Youssou N'Dour: Return to Gor (C)e), this particular chronicle was produced and shot over a period of several years. Helmed by director Elizabeth Chai Vasarhelyi, it witnesses the evolution and production of N'Dour's June 2004 album Egypt, on the Nonesuch label -- the recording that details N'Dour fully expressing his newfound Muslim faith. A veritable bedrock of controversy, the album courted objections from multiple countries: Americans objected because of their post-9/11 tendencies to attribute Islam to violent extremism; Senegalese DJs and radio-station proprietors objected given the odd discomfiture associated with playing religious music about Allah alongside often-racy selections by other acts. Even more significantly, N'Dour inadvertently carried this controversy a step further by performing live during the Muslim holy month of Ramadan -- thus infuriating Senegalese religious conservatives. The film witnesses N'Dour confronting these challenges head-on and, incredibly, surmounting them with great ease and finesse. ~ Nathan Southern, Rovi
            ","PG (for thematic elements and brief smoking)
                    ",Elizabeth Chai Vasarhelyi,NA,NA,Elizabeth Chai Vasarhelyi,NA,NA,NA,"Jun 12, 2009
                        ","Apr 6, 2010
                        ","
                            102 minutes
                        ","
                        Shadow Distribution
                    ","
                Youssou N'Dour
            ","
                Peter Gabriel
            ","
                Kabou Guye
            ","
                Fathi Salama
            ","
                Super Etoile de Dakar
            ","
                The Fathy Salama Cairo Orchestra
            ",Youssou Ndour: I Bring What I Love,NA,"It never gets close enough to its subject, and it's curiously light on music, but this documentary is nonetheless a long-overdue tribute to a brilliant musician.","
                        
                        Documentary, 
                        
                        Musical & Performing Arts, 
                        
                        Special Interest
                        
                    ",83,24,74,2,136413,6.49,6.73,13,3.66,25,9,430,https://www.rottentomatoes.com/m/youssou_ndour_i_bring_what_i_love
"
                A man on the brink of suicide regains the will to live under decidedly unusual circumstances in this drama from Mexico. A quietly despondent man (Alejandro Ferretis) leaves behind the city for a journey into a quiet village in the valley, telling anyone who cares to know that once he's settled in, he intends to kill himself. The man takes a room with Ascen (Magdalena Flores), and elderly woman who lost her husband some years ago. Keeping to himself, the man paints, thinks, and prepares himself for death, while Ascen slowly becomes aware of the depth of his depression. As Ascen's nephew attempts to rob her of her share of the family estate, the man feels a desire to live waking inside him again -- as well as the desire for a woman. Improbably, the man turns to Ascen for physical affection, and sensing his need for comfort, she complies, though the seduction lacks a great deal in the way of romance. The first feature film from writer and director Carlos Reygadas, Japon received an enthusiastic response when it was screened as part of the Directors' Fortnight series at the 2002 Cannes Film Festival.
            ","R
                    ",Carlos Reygadas,Carlos Reygadas Barqun,NA,Carlos Reygadas,NA,NA,NA,"Mar 19, 2003
                        ","Oct 12, 2004
                        ","
                            126 minutes
                        ","
                        Mantarraya Producciones
                    ","
                Alejandro Ferretis
            ","
                Alejandro Ferretis Elizondo
            ","
                Magdalena Flores
            ","
                Yolanda Villa
            ","
                Martin Serrano
            ","
                Rolando Hernndez
            ","
                                Japon
                            ",2003,"A slow-moving, visually impressive debut.","
                        
                        Art House & International, 
                        
                        Documentary, 
                        
                        Drama
                        
                    ",81,26,73,1,132480,7.42,8,10,3.73,205,76,293,https://www.rottentomatoes.com/m/japon
"
                On the eve of his third wedding, documentary filmmaker Caveh Zahedi bravely turns the camera on himself to explore his decade-long addiction to sex in an autobiographical tale of personal peccadillo featuring animation from Waking Life artist Bob Sabiston and featuring a rare film appearance by French porn legend Rebecca Lord. His previous marriages destroyed by his obsession with prostitutes and his many intimate relationships sabotaged by his unwavering commitment to the concept of open relationships, Zahedi boldly bares his soul before the camera to offer a comic look at the life of one man who truly can't get enough. ~ Jason Buchanan, Rovi
            ","R
                    ",Caveh Zahedi,NA,NA,Caveh Zahedi,NA,NA,NA,"Apr 12, 2006
                        ","Sep 12, 2006
                        ","
                            99 minutes
                        ","
                        IFC First Take
                    ","
                Caveh Zahedi
            ","
                Rebecca Lord
            ","
                Emily Morse
            ","
                Amanda Henderson
            ","
                Olia Natasha
            ","
                Corinna Chan
            ",I Am A Sex Addict,NA,"I Am a Sex Addict takes a penetrating look at troublesome compulsions, although its unsurprisingly self-indulgent focus may test the limits of some viewers.","
                        
                        Art House & International, 
                        
                        Comedy, 
                        
                        Documentary, 
                        
                        Drama, 
                        
                        Special Interest
                        
                    ",63,32,57,13,134960,6.12,6.36,14,3.34,397,297,3213,https://www.rottentomatoes.com/m/i_am_a_sex_addict
"
                Colonization as a human phenomenon through both explicit and metaphoric lenses without oversimplified accusations or political theorizing. Alarmingly, It is not a historical film since colonization and the slave trade still exist.
            ","PG-13
                    ",Hubert Sauper,NA,NA,Hubert Sauper,NA,NA,NA,"Aug 14, 2015
                        ","Mar 8, 2016
                        ","
                            110 minutes
                        ","
                        BBC Worldwide Americas
                    ",NA,NA,NA,NA,NA,NA,We Come as Friends,NA,No consensus yet.,"
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",97,32,62,383,133487,7.99,7.32,13,3.56,36,22,300,https://www.rottentomatoes.com/m/we_come_as_friends
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,,,,,,,,https://www.rottentomatoes.com/m/jandek-on-corwood
"
                Today skateboarding is omnipresent. Take a walk down any street in any town, and you are destined to see someone riding a skateboard. Well, it wasn't always like that. In the early '80s, skateboarding was fading away until Stacy Peralta brought a profoundly talented group of outsiders together and dubbed them the Bones Brigade. This documentary chronicles their epic rise, using awesome archival footage and moving first-person accounts from Brigade members Steve Caballero, Tommy Guerrero, Tony Hawk, Mike McGill, Lance Mountain, and Rodney Mullen, among others. Through passion, drive, creativity, and a surprising sense of teamwork, they revitalized the sport and influenced generations to come. BONES BRIGADE will blow the minds of anyone who grew up emulating these guys, but it also resonates for anyone who ever found a family or a purpose in an unexpected place.
            ","NR
                    ",Stacy Peralta,NA,NA,Stacy Peralta,NA,NA,NA,"Nov 2, 2012
                        ","Dec 4, 2012
                        ","
                            90 minutes
                        ","
                        Bones Brigade
                    ","
                Rodney Mullen
            ","
                Stacy Peralta
            ","
                Steve Caballero
            ","
                Tommy Guerrero
            ","
                Tony Hawk
            ",NA,Bones Brigade: An Autobiography,NA,No consensus yet.,"
                        
                        Documentary, 
                        
                        Sports & Fitness
                        
                    ",77,13,92,506,134032,6.75,6.42,9,4.28,227,20,158,https://www.rottentomatoes.com/m/bones_brigade_an_autobiography
"
                The life and music of composer Fryderyk Chopin.
            ","NR
                    ",Phil Grabsky,NA,NA,NA,NA,NA,NA,"Jan 29, 2016
                        ","
                            112 minutes
                        ",NA,"

                            112 minutes
                        
",NA,NA,NA,NA,NA,NA,In Search Of Chopin,NA,No consensus yet.,"
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",NA,NA,NA,NA,132050,7.33,7,3,",""audienceVerified"":{}};
root.RottenTomatoes.context.wantToSeeData = {""wantToSeeCount"":3,""ratingsStartDate"":""2013-12-31T21:00:00Z""};
root.RottenTomatoes.context.scoreBoardViewModel = {""hasMovieData"":true,""isReleased"":false,""releaseDate"":"""",""showtimesLink"":""\u002Fshowtimes"",""isVerified"":false,""canVerifyRatings"":false,""isPrerelease"":false,""initialCriticProgress"":0,""initialAudienceProgress"":0,""counts"":{""allCritics"":5,""topCritics"":3,""allAudience"":0,""verifiedAudience"":0},""critics"":{""avgScore"":7.33,""freshCount"":4,""numberOfReviews"":5,""rottenCount"":1,""score"":80,""tomatometerState"":""f",""":{},""audienceVerified"":{}};
root.RottenTomatoes.context.wantToSeeData = {""wantToSeeCount"":3,""ratingsStartDate"":""2013-12-31T21:00:00Z""};
root.RottenTomatoes.context.scoreBoardViewModel = {""hasMovieData"":true,""isReleased"":false,""releaseDate"":"""",""showtimesLink"":""\u002Fshowtimes"",""isVerified"":false,""canVerifyRatings"":false,""isPrerelease"":false,""initialCriticProgress"":0,""initialAudienceProgress"":0,""counts"":{""allCritics"":5,""topCritics"":3,""allAudience"":0,""verifiedAudience"":0},""critics"":{""avgScore"":7.33,""freshCount"":4,""numberOfReviews"":5,""rottenCount"":1,""score"":80,""tomatometerState"":""fr",,3,https://www.rottentomatoes.com/m/in_search_of_chopin
"
                A film about the late Oregon running legend Steve Prefontaine and his coach, Bill Bowerman. Bowerman helped create a generation of world-class runners at the University of Oregon and went on to coach at the Olympics. An enigmatic, commanding man, revered by his team and respected the world over for his training accomplishments, he became Pre's close friend and mentor. Although taken aback by Prefontaine's unwillingness to substitute strategy for a fervent desire to run at the front of the pack, Bowerman also respected the young track star and came to know him as few others did.
            ","PG-13 (for brief sexual material and brief strong language)
                    ",Robert Towne,NA,NA,Kenny Moore,NA,NA,NA,"Sep 11, 1998
                        ","Feb 16, 1999
                        ","
                            119 minutes
                        ","
                        Warner Bros. Pictures
                    ","
                Billy Crudup
            ","
                Donald Sutherland
            ","
                Monica Potter
            ","
                Judith Ivey
            ","
                Jeremy Sisto
            ","
                Matthew Lillard
            ","
                                Without Limits
                            ",1998,This drama about American track star and hero Steve Prefontaine intelligently looks at the character of this oft mythologized athlete and features a fantastic performance by Donald Sutherland as Prefontaine's trainer.,"
                        
                        Documentary, 
                        
                        Drama
                        
                    ",79,39,91,7,132470,6.69,6.65,17,4.37,1219,117,832,https://www.rottentomatoes.com/m/without_limits
"
                Jeremy Lin came from a humble background to make an unbelievable run in the NBA. State high school champion, all-Ivy League at Harvard, undrafted by the NBA and unwanted there: his story started long before he landed on Broadway. (c) Official Facebook
            ","PG (for some thematic elements andf language)
                    ",Evan Leong,NA,NA,NA,NA,NA,NA,"Oct 4, 2013
                        ","Jan 6, 2014
                        ","
                            88 minutes
                        ","
                        Ketchup Entertainment
                    ","
                Jeremy Lin
            ","
                Daniel Dae Kim
            ","
                Gieming Lin
            ","
                Joseph Lin
            ","
                Joshua Lin
            ","
                Shirley Lin
            ","
                                Linsanity
                            ",2013,"Linsanity offers a compelling enough look at its basketball star subject for fans and curious viewers, even if it never really delves below the surface.","
                        
                        Documentary, 
                        
                        Sports & Fitness
                        
                    ",63,24,77,692,134391,5.41,4.62,11,3.98,225,66,288,https://www.rottentomatoes.com/m/linsanity_2013
"
                This documentary focuses on Maggie, a good-humored homeless woman in her '40s. She lives in Central Park with her six dogs. Maggie claims to receive radio reports from her husband Jupiter, the Greek god. Trying to understand what she means, filmmaker Miche Negroponte spent two years following and interviewing her.
            ","NR
                    ",Michel Negroponte,NA,NA,Gabriel Morgan,Michel Negroponte,NA,NA,"Jan 28, 1997
                        ","
                            78 minutes
                        ",NA,"

                            78 minutes
                        
","
                Maggie Cogan
            ","
                Katrina Pendleton
            ","
                Bobbi
            ","
                James Krumenauer
            ","
                Katina Pendleton
            ","
                Audrey Pendleton
            ",Jupiter's Wife,NA,No consensus yet.,"
                        
                        Documentary, 
                        
                        Special Interest
                        
                    ",80,5,84,40,132023,7.56,6.25,2,3.84,16,3,7,https://www.rottentomatoes.com/m/jupiters_wife
"
                Kids For Cash is a riveting look behind the notorious judicial scandal that rocked the nation. Beyond the millions paid and high stakes corruption, Kids For Cash exposes a shocking American secret. In the wake of the shootings at Columbine, a small town celebrates a charismatic judge who is hell-bent on keeping kids in line...until one parent dares to question the motives behind his brand of justice. This real life thriller reveals the untold stories of the masterminds at the center of the scandal and the chilling aftermath of lives destroyed in the process - a stunning emotional roller coaster. (c) SenArts
            ","PG-13 (for some thematic material and language)
                    ",Robert May,NA,NA,NA,NA,NA,NA,"Feb 7, 2014
                        ","Dec 21, 2014
                        ","
                            104 minutes
                        ","
                        Sen Art Films Releasing Inc.
                    ","
                Mark Ciavarella
            ","
                Amanda Lorah
            ","
                Marsha Levick
            ","
                Terrie Morgan-Besecker
            ","
                Robert Schwartz
            ","
                Hillary Transue
            ","
                                Kids for Cash
                            ",2014,"Dispassionately presented yet frequently enraging, Kids for Cash uses the fallout from one horrific scandal to offer a thought-provoking critique of the justice system in general.","
                        
                        Documentary, 
                        
                        Drama, 
                        
                        Special Interest
                        
                    ",92,36,74,4,133453,7.61,7.53,17,3.82,374,134,3437,https://www.rottentomatoes.com/m/kids_for_cash
